Delivery,Batsman,Bowler,Outcome,BattingTeam,BowlingTeam,Ground,Innings,L/R,Bowling,Date,Match
0.1,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.2,Mahesh Chhetri,Karan KC,1(Wide),Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.2,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.3,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.4,Mahesh Chhetri,Karan KC,4,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.5,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
0.6,Mahesh Chhetri,Karan KC,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
1.1,Mahesh Chhetri,Aarif Sheikh,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
1.2,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
1.3,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
1.4,Amit Shrestha,Aarif Sheikh,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
1.5,Mahesh Chhetri,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
1.6,Mahesh Chhetri,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
2.1,Amit Shrestha,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
2.2,Amit Shrestha,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
2.3,Amit Shrestha,Karan KC,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
2.4,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
2.5,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
2.6,Mahesh Chhetri,Karan KC,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm fast,20160925,Jagdamba Rhinos v Panchakanya Tej
3.1,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
3.2,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
3.3,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
3.4,Amit Shrestha,Aarif Sheikh,0,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
3.5,Amit Shrestha,Aarif Sheikh,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
3.6,Mahesh Chhetri,Aarif Sheikh,4,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
4.1,Amit Shrestha,Kushal Bhurtel,1(Wide),Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
4.1,Amit Shrestha,Kushal Bhurtel,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
4.2,Mahesh Chhetri,Kushal Bhurtel,4,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
4.3,Mahesh Chhetri,Kushal Bhurtel,1,Jagdamba Rhinos,Panchakanya Tej,Tribhuvan University International Cricket Ground,1,Right,Right-arm medium,20160925,Jagdamba Rhinos v Panchakanya Tej
