Delivery,Batsman,Bowler,Outcome,BattingTeam,BowlingTeam,Ground,Innings,L/R,Bowling,Date,Match
0.1,Lendl Simmons,RP Singh,1,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
0.2,Rohit Sharma,RP Singh,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
0.3,Rohit Sharma,RP Singh,2,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
0.4,Rohit Sharma,RP Singh,4,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
0.5,Rohit Sharma,RP Singh,1,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
0.6,Lendl Simmons,RP Singh,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.1,Rohit Sharma,Ishant Sharma,Wicket,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.2,Hardik Pandya,Ishant Sharma,3(Wide),Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.2,Hardik Pandya,Ishant Sharma,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.3,Hardik Pandya,Ishant Sharma,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.4,Hardik Pandya,Ishant Sharma,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.5,Hardik Pandya,Ishant Sharma,1(Wide),Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.5,Hardik Pandya,Ishant Sharma,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
1.6,Hardik Pandya,Ishant Sharma,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.1,Lendl Simmons,RP Singh,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.2,Lendl Simmons,RP Singh,6,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.3,Lendl Simmons,RP Singh,1,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.4,Hardik Pandya,RP Singh,1,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.5,Lendl Simmons,RP Singh,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
2.6,Lendl Simmons,RP Singh,0,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Left-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
3.1,Hardik Pandya,Ishant Sharma,4,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
3.2,Hardik Pandya,Ishant Sharma,4,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,1,Right,Right-arm fast-medium,20160409,Mumbai Indians v Rising Pune Supergiants
